id,repartidorId,token,fecha_inicio,fecha_expiracion,activa,dispositivo
1,1,24b9e79af4e51bd703d1482e6bf868e36a373ec6692f10ae1f95c0285b9eb2ff,2025-05-20 16:42:35.375986,2025-05-20 19:42:35.375986,True,iOS
2,3,3426c5366b9927870b506927169a6bcf3b7a3ace3d10e4f2b5be6cceaca1d5ec,2025-05-20 17:42:35.376487,2025-05-20 19:42:35.376487,True,iOS
3,4,3fb7d8f1a2d8da2866a638c24d348bf7903eba98f15b2e2d2989e534782500d2,2025-05-20 14:42:35.376487,2025-05-20 19:42:35.376487,True,iOS
4,6,a8552df06bb2af37f22e18e85df13e3d9fd909b9298a7d4b88f5fab3c6bce4e9,2025-05-20 17:42:35.376986,2025-05-20 19:42:35.376986,True,Android
5,8,5ae9f79eef6a0da2d4cf4e746065060b0f3723f30bef55a1ed426063fd84642a,2025-05-20 15:42:35.376986,2025-05-20 19:42:35.376986,True,Android
6,9,4702d688c0d4b0f02ccb6009e16e6589d3cea4de856b9b54b62511f481977926,2025-05-20 17:42:35.376986,2025-05-20 19:42:35.376986,True,Android
7,10,2155604027936419b7a809168236aa4cc9d3a51dba7024e436bd046cd36822bb,2025-05-20 17:42:35.376986,2025-05-20 19:42:35.376986,True,iOS
8,12,61941ecb7faeec234e29be226f42f25ffa970c44f209db31b8a418ee27f3f97f,2025-05-20 14:42:35.377485,2025-05-20 19:42:35.377485,True,iOS
9,16,9a9d9ca247e6ea924d239a3c93588451dc6afaedbdd29a1711bff73de0103fc7,2025-05-20 16:42:35.377485,2025-05-20 19:42:35.377485,True,Android
10,17,0881fbe53d621779f6cb024d82f0ec8ba7fac96583f83e93092d93a8d5c807f3,2025-05-20 17:42:35.377986,2025-05-20 19:42:35.377986,True,Android
11,18,4e05a74d1d5719660452e2e58d76aedc9c5bbd5e122c2ffd66342834552b2c1f,2025-05-20 13:42:35.377986,2025-05-20 19:42:35.377986,True,Android
12,20,bdc56251298dc11ef499cfa8b2022c4b1e443b27ee7a3877a6d1a6bf9adcaab1,2025-05-20 15:42:35.377986,2025-05-20 19:42:35.377986,True,iOS
13,21,f1a9ba376fdd57d563143f7ac50607dbc90fe52f392bed27c6b7d5a14c0524e3,2025-05-20 17:42:35.377986,2025-05-20 19:42:35.377986,True,Android
14,22,089d3e6481d4004081307baf840f3b56295440ecead49500bdfe6d86dca2c449,2025-05-20 16:42:35.377986,2025-05-20 19:42:35.377986,True,Android
15,23,83ab4e9a8b2125063906c48364c6b32c0f01cf67de9207df808af713a41b64f2,2025-05-20 14:42:35.377986,2025-05-20 19:42:35.377986,True,Android
16,24,071d26c161085a5def2e73a0308eef4b938af80751389eb2052786f98bb9dc2f,2025-05-20 16:42:35.378989,2025-05-20 19:42:35.378989,True,Android
17,25,3927cb1b0bc1ba36004535f425f6536e6e1d75c8506746ea2150f2f0f50c261f,2025-05-20 14:42:35.378989,2025-05-20 19:42:35.378989,True,Android
18,26,afa2bc7746d0b061e91b5855c977be48dddb5316e76aff0577d56bca7ceec896,2025-05-20 13:42:35.378989,2025-05-20 19:42:35.378989,True,Android
19,28,ab2965ca5f49332667b08a826de17a339bd43b23d51d1ba7446b84bd56d891f1,2025-05-20 13:42:35.379491,2025-05-20 19:42:35.379491,True,iOS
20,29,7093aa09eeaf950a6f289553806a21a30b1ca9bdfa2e1d27be18f0dca53db586,2025-05-20 13:42:35.379491,2025-05-20 19:42:35.379491,True,iOS
21,30,f1c8b8146b05e4ae0bbf1719398218cdbff39997e58c10e244bd8e69731f0ffe,2025-05-20 17:42:35.379491,2025-05-20 19:42:35.379491,True,Android
22,31,14b499ee6ed66ef4998cf6cbb8f760d8ed29e535113596ada7428981751501f9,2025-05-20 16:42:35.379991,2025-05-20 19:42:35.379991,True,iOS
23,32,40026b9692cf3ac42c3a52aafb0df551888d39efd486e1caaf8d9d04dbb97630,2025-05-20 14:42:35.379991,2025-05-20 19:42:35.379991,True,Android
24,33,8c1f96824f0520323d7235dc325dfea05dccba993cc2a9cdbd4ef2aa03a9c15d,2025-05-20 17:42:35.379991,2025-05-20 19:42:35.379991,True,Android
25,34,044a0c591402eedca09069d1272d9ccc79aeceb6caabba4a569c1302cda22e1b,2025-05-20 17:42:35.379991,2025-05-20 19:42:35.379991,True,iOS
26,36,861b15be900d24a7fcf32831b1ebe92d3da0aee54bd0c26c323c5abe463e7b37,2025-05-20 15:42:35.380492,2025-05-20 19:42:35.380492,True,iOS
27,37,3d930247baebcad5ee690b6c37247e7a55ff7ac7275300b142aa9ce7a9a725af,2025-05-20 17:42:35.380492,2025-05-20 19:42:35.380492,True,Android
28,38,146182d2db21e5ed63bc52f24cc624445a9c2eae9d50e35a62dacffbae48e320,2025-05-20 17:42:35.380492,2025-05-20 19:42:35.380492,True,iOS
29,39,da93e6d690e8d2bd32ab0cb9490a9f914c1672f67c23c68acdaacf10c87a169e,2025-05-20 16:42:35.380991,2025-05-20 19:42:35.380991,True,Android
30,40,c22d88f2a62145f2a66f595eeb19aecadfc8e2826f652760c4e2cdba43d0029a,2025-05-20 15:42:35.380991,2025-05-20 19:42:35.380991,True,iOS
31,42,87e858cae3ac7f87b5720d903cee886a487f324d4316dccb65d7da8d31d301d3,2025-05-20 16:42:35.380991,2025-05-20 19:42:35.380991,True,iOS
